"filename", "language", "wxss", "Markdown", "JSON", "wxml", "JavaScript", "comment", "blank", "total"
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\@babel\runtime\helpers\defineProperty.js", "JavaScript", 0, 0, 0, 0, 14, 0, 1, 15
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\@babel\runtime\helpers\interopRequireDefault.js", "JavaScript", 0, 0, 0, 0, 6, 0, 1, 7
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\navigation-bar\navigation-bar.js", "JavaScript", 0, 0, 0, 0, 56, 0, 0, 56
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\navigation-bar\navigation-bar.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\navigation-bar\navigation-bar.wxml", "wxml", 0, 0, 0, 17, 0, 0, 1, 18
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\navigation-bar\navigation-bar.wxss", "wxss", 71, 0, 0, 0, 0, 0, 15, 86
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\audio\audio.js", "JavaScript", 0, 0, 0, 0, 72, 0, 0, 72
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\audio\audio.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\audio\audio.wxml", "wxml", 0, 0, 0, 13, 0, 0, 1, 14
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\audio\audio.wxss", "wxss", 72, 0, 0, 0, 0, 0, 10, 82
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\parser.js", "JavaScript", 0, 0, 0, 0, 141, 0, 2, 143
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\parser.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\parser.wxml", "wxml", 0, 0, 0, 2, 0, 0, 1, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\parser.wxss", "wxss", 19, 0, 0, 0, 0, 0, 4, 23
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\trees\trees.js", "JavaScript", 0, 0, 0, 0, 94, 1, 1, 96
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\trees\trees.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 7
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\trees\trees.wxml", "wxml", 0, 0, 0, 63, 0, 0, 0, 63
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\trees\trees.wxss", "wxss", 207, 0, 0, 0, 0, 0, 53, 260
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\bug\bug.js", "JavaScript", 0, 0, 0, 0, 29, 20, 1, 50
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\bug\bug.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\bug\bug.wxml", "wxml", 0, 0, 0, 38, 0, 0, 1, 39
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\bug\bug.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\discover\discover.js", "JavaScript", 0, 0, 0, 0, 85, 7, 0, 92
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\discover\discover.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\discover\discover.wxml", "wxml", 0, 0, 0, 59, 0, 0, 4, 63
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\discover\discover.wxss", "wxss", 273, 0, 0, 0, 0, 0, 50, 323
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\log\log.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 6
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\log\log.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\log\log.wxml", "wxml", 0, 0, 0, 114, 0, 0, 0, 114
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\log\log.wxss", "wxss", 3, 0, 0, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\nlp\nlp.js", "JavaScript", 0, 0, 0, 0, 412, 14, 7, 433
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\nlp\nlp.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\nlp\nlp.wxml", "wxml", 0, 0, 0, 75, 0, 0, 1, 76
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\nlp\nlp.wxss", "wxss", 11, 0, 0, 0, 0, 0, 0, 11
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package2\identify\identify.js", "JavaScript", 0, 0, 0, 0, 123, 8, 2, 133
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package2\identify\identify.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package2\identify\identify.wxml", "wxml", 0, 0, 0, 42, 0, 0, 2, 44
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package2\identify\identify.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\Instruction\Instruction.js", "JavaScript", 0, 0, 0, 0, 32, 1, 0, 33
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\Instruction\Instruction.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\Instruction\Instruction.wxml", "wxml", 0, 0, 0, 37, 0, 0, 2, 39
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\Instruction\Instruction.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\allSheets\allSheets.js", "JavaScript", 0, 0, 0, 0, 296, 3, 1, 300
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\allSheets\allSheets.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\allSheets\allSheets.wxml", "wxml", 0, 0, 0, 89, 0, 0, 0, 89
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\allSheets\allSheets.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageIdentify\manageIdentify.js", "JavaScript", 0, 0, 0, 0, 182, 1, 3, 186
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageIdentify\manageIdentify.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageIdentify\manageIdentify.wxml", "wxml", 0, 0, 0, 121, 0, 0, 0, 121
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageIdentify\manageIdentify.wxss", "wxss", 11, 0, 0, 0, 0, 0, 1, 12
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageMember\manageMember.js", "JavaScript", 0, 0, 0, 0, 239, 7, 1, 247
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageMember\manageMember.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageMember\manageMember.wxml", "wxml", 0, 0, 0, 110, 0, 0, 4, 114
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageMember\manageMember.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myIdentity\myIdentity.js", "JavaScript", 0, 0, 0, 0, 513, 12, 5, 530
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myIdentity\myIdentity.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myIdentity\myIdentity.wxml", "wxml", 0, 0, 0, 195, 0, 0, 3, 198
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myIdentity\myIdentity.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myReceivedRepairSheet\myReceivedRepairSheet.js", "JavaScript", 0, 0, 0, 0, 415, 12, 5, 432
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myReceivedRepairSheet\myReceivedRepairSheet.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myReceivedRepairSheet\myReceivedRepairSheet.wxml", "wxml", 0, 0, 0, 99, 0, 0, 4, 103
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myReceivedRepairSheet\myReceivedRepairSheet.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\home\home.js", "JavaScript", 0, 0, 0, 0, 107, 0, 3, 110
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\home\home.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\home\home.wxml", "wxml", 0, 0, 0, 22, 0, 0, 2, 24
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\home\home.wxss", "wxss", 11, 0, 0, 0, 0, 0, 1, 12
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\QASystem\QASystem.js", "JavaScript", 0, 0, 0, 0, 209, 7, 2, 218
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\QASystem\QASystem.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\QASystem\QASystem.wxml", "wxml", 0, 0, 0, 45, 0, 0, 3, 48
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\QASystem\QASystem.wxss", "wxss", 4, 0, 0, 0, 0, 0, 0, 4
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\feedback\feedback.js", "JavaScript", 0, 0, 0, 0, 270, 5, 0, 275
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\feedback\feedback.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\feedback\feedback.wxml", "wxml", 0, 0, 0, 43, 0, 0, 2, 45
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\feedback\feedback.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\process\process.js", "JavaScript", 0, 0, 0, 0, 16, 1, 0, 17
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\process\process.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\process\process.wxml", "wxml", 0, 0, 0, 31, 0, 0, 0, 31
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\process\process.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\statistics\statistics.js", "JavaScript", 0, 0, 0, 0, 72, 7, 3, 82
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\statistics\statistics.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\statistics\statistics.wxml", "wxml", 0, 0, 0, 110, 0, 0, 2, 112
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\statistics\statistics.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\repairSheet\repairSheet.js", "JavaScript", 0, 0, 0, 0, 425, 5, 3, 433
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\repairSheet\repairSheet.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\repairSheet\repairSheet.wxml", "wxml", 0, 0, 0, 165, 0, 0, 10, 175
"g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\repairSheet\repairSheet.wxss", "wxss", 4, 0, 0, 0, 0, 0, 0, 4
"g:\Project\MiniProgram\tanei\miniprogram\pages\index\index.js", "JavaScript", 0, 0, 0, 0, 412, 5, 1, 418
"g:\Project\MiniProgram\tanei\miniprogram\pages\index\index.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 5
"g:\Project\MiniProgram\tanei\miniprogram\pages\index\index.wxml", "wxml", 0, 0, 0, 153, 0, 0, 1, 154
"g:\Project\MiniProgram\tanei\miniprogram\pages\index\index.wxss", "wxss", 95, 0, 0, 0, 0, 0, 15, 110
"g:\Project\MiniProgram\tanei\miniprogram\sitemap.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 7
"g:\Project\MiniProgram\tanei\miniprogram\utils\WxValidate.js", "JavaScript", 0, 0, 0, 0, 241, 142, 35, 418
"g:\Project\MiniProgram\tanei\project.config.json", "JSON", 0, 0, 172, 0, 0, 0, 0, 172
"g:\Project\MiniProgram\tanei\project.private.config.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 21
"g:\Project\MiniProgram\tanei\report\report.js", "JavaScript", 0, 0, 0, 0, 104, 1, 0, 105
"g:\Project\MiniProgram\tanei\report\report.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\report\report.wxml", "wxml", 0, 0, 0, 3, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\report\report.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 5480, 46, 5253, 2130, 10065, 771, 1386, 25131
